Dierenzoeker,,,,KENMERK,lijkt op,leefgebied,seizoen,grootte,kleur,patroon,vorm,huid,ogen,spriet,bek,aantal poten,soort poten,vleugels,achterlijf,gedrag,BEGINLETTER,naam SCI,naam NL,thumbnail,illustratie soortpagina
107,Atalanta,,,kleine vos;distelvlinder;sint-jacobsvlinder;zwartbandspanner,vlinder; kriebeldier,op bloem;op de grond;in struik;in de lucht,lente;zomer;herfst,huissleutel,zwart; rood; wit; blauw,effen; gevlekt,segmenten; twee delen; drie delen,met haren; schubben,insectenoog,spriet lang,tong,4,lang en dun; met haakjes,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,A,Vanessa atalanta,Atalanta,http://images.ncbnaturalis.nl/80x80/194835.jpg,http://images.ncbnaturalis.nl/280x190/194956.jpg
108,Distelvlinder,,,dagpauwoog;kleine vuurvlinder;gehakkelde aurelia;kleine vos;huismoeder;muntvlinder,vlinder; kriebeldier,op bloem;op de grond;in struik;in de lucht,lente;zomer;herfst,huissleutel,oranje; zwart; wit,gevlekt,segmenten; twee delen; drie delen,met haren; schubben,insectenoog,spriet lang,tong,4,lang en dun; met haakjes,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,D; V,Vanessa cardui,Distelvlinder,http://images.ncbnaturalis.nl/80x80/194853.jpg,http://images.ncbnaturalis.nl/280x190/194974.jpg
109,Sint-jacobsvlinder,,,kleine vuurvlinder;distelvlinder;grote beer,vlinder; kriebeldier,op bloem;op plant,lente;zomer,euro;huissleutel,zwart; rood; groen,gevlekt,segmenten; twee delen; drie delen; driehoekig,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,S; J; V,Tyria jacobaeae,Sint-jacobsvlinder,http://images.ncbnaturalis.nl/80x80/194931.jpg,http://images.ncbnaturalis.nl/280x190/195052.jpg
110,Muntvlinder,,,rood weeskind;huismoeder;gamma-uil;kleine vos;kolibrievlinder,vlinder; kriebeldier,op bloem;op plant;in de lucht,lente;zomer;herfst,euro,bruin; geel; rood,gevlekt,segmenten; twee delen; drie delen; driehoekig,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,M; V,Pyrausta aurata,Muntvlinder,http://images.ncbnaturalis.nl/80x80/194913.jpg,http://images.ncbnaturalis.nl/280x190/195034.jpg
111,Bonte brandnetelroller,,,bonte bessenvlinder;klein geaderd witje;zwartbandspanner,vlinder; kriebeldier,op plant;in struik;in de lucht,lente;zomer,euro,wit; zwart; geel,gevlekt,segmenten; twee delen; drie delen; driehoekig,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,B,Anania hortulata,Bonte brandnetelroller,http://images.ncbnaturalis.nl/80x80/194844.jpg,http://images.ncbnaturalis.nl/280x190/194965.jpg
112,Bonte bessenvlinder,,,Bonte brandnetelroller;klein geaderd witje;zwartbandspanner;hagedoornvlinder,vlinder; kriebeldier,op plant;in struik;in de lucht,lente;zomer,euro,wit; zwart; geel,gevlekt,segmenten; twee delen; drie delen; driehoekig,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,B; V,Abraxas grossulariata,Bonte bessenvlinder,http://images.ncbnaturalis.nl/80x80/194839.jpg,http://images.ncbnaturalis.nl/280x190/194960.jpg
113,Piramidevlinder,,,gamma-uil;witvlakvlinder;bruin zandoogje;bruine snuituil;huismoeder,vlinder; kriebeldier,op bloem;in boom;in struik;in de lucht,zomer;herfst,euro;huissleutel,bruin; geel; wit; rood; zwart,gevlekt; gestreept,segmenten; twee delen; drie delen; driehoekig,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes;behaard,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,P; V,Amphipyra pyramidea,Piramidevlinder,http://images.ncbnaturalis.nl/80x80/194920.jpg,http://images.ncbnaturalis.nl/280x190/195041.jpg
114,Grote beer,,,sint-jacobsvlinder;pauwoogpijlstaart,vlinder; kriebeldier,in boom;op de grond;op plant;in struik,zomer,huissleutel,wit; zwart; bruin; rood; oranje,gevlekt; gestreept,segmenten; twee delen; drie delen; driehoekig,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes;behaard,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,G; B,Arctia caja,Grote beer,http://images.ncbnaturalis.nl/80x80/194877.jpg,http://images.ncbnaturalis.nl/280x190/194998.jpg
115,Rood weeskind,,,pauwoogpijlstaart;muntvlinder;huismoeder;kolibrievlinder,vlinder; kriebeldier,in boom;op plant;in struik,zomer;herfst,huissleutel,bruin; zwart; rood; wit,gevlekt; gestreept,segmenten; twee delen; drie delen; driehoekig,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes;behaard,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,R; W,Catocala nupta,Rood weeskind,http://images.ncbnaturalis.nl/80x80/194925.jpg,http://images.ncbnaturalis.nl/280x190/195046.jpg
116,Gamma-uil,,,witvlakvlinder;bruine snuituil;huismoeder;piramidevlinder;bruin zandoogje,vlinder; kriebeldier,op plant;op bloem;in struik,lente;zomer;herfst,euro,bruin; wit,gevlekt; gestreept,segmenten; twee delen; drie delen,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes;behaard,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,G; U,Autographa gamma,Gamma-uil,http://images.ncbnaturalis.nl/80x80/194861.jpg,http://images.ncbnaturalis.nl/280x190/194982.jpg
117,Kleine wintervlinder,,,kleine zomervlinder;lieveling;witvlakvlinder;zwartbandspanner;Wc-motmugje,vlinder; kriebeldier,op plant;in boom;tegen muur,herfst;winter,euro,bruin; wit; grijs,effen; gevlekt; gestreept,segmenten; twee delen; drie delen; driehoekig,naakt; met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes,als vlinder; gekleurd,afgerond,vliegt; zit stil,K; W; V,Operophtera brumata,Kleine wintervlinder,http://images.ncbnaturalis.nl/80x80/194895.jpg,http://images.ncbnaturalis.nl/280x190/195016.jpg
118,Kleine zomervlinder,,,kleine wintervlinder;lieveling;agaatvlinder;hagedoornvlinder;muntvlinder,vlinder; kriebeldier,op plant;in boom;tegen muur,zomer,euro,groen; wit,effen; gestreept,segmenten; twee delen; drie delen; driehoekig,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,K; Z; V,Hemithea aestivaria,Kleine zomervlinder,http://images.ncbnaturalis.nl/80x80/194896.jpg,http://images.ncbnaturalis.nl/280x190/195017.jpg
119,Hagedoornvlinder,,,zwartsprietdikkopje;muntvlinder;lieveling;bruine snuituil;bonte bessenvlinder,vlinder; kriebeldier,op plant;in de lucht,lente;zomer;herfst,euro,geel; bruin,effen; gevlekt,segmenten; twee delen; drie delen; driehoekig,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,H; V,Opisthograptis luteolata,Hagedoornvlinder,http://images.ncbnaturalis.nl/80x80/194879.jpg,http://images.ncbnaturalis.nl/280x190/195000.jpg
120,Bruine snuituil,,,gamma-uil;witvlakvlinder;bruin zandoogje;bruine snuituil;huismoeder;kokerjuffer;Wc-motmugje,vlinder; kriebeldier,op plant;in boom;tegen muur,lente;zomer;herfst,euro,bruin; grijs; rood,effen; gestreept,segmenten; twee delen; drie delen; driehoekig,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes,als vlinder; gekleurd,afgerond,vliegt; zit stil,B; S; U,Hypena proboscidalis,Bruine snuituil,http://images.ncbnaturalis.nl/80x80/194847.jpg,http://images.ncbnaturalis.nl/280x190/194968.jpg
121,Kolibrievlinder,,,huismoeder;rood weeskind;ligusterpijlstaart;muntvlinder,vlinder; kriebeldier,op bloem;in de lucht,zomer,euro;huissleutel,bruin; oranje; zwart; wit,effen; gestreept; gevlekt,segmenten; twee delen; drie delen; driehoekig,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes;behaard,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,K; V,Macroglossum stellatarum,Kolibrievlinder,http://images.ncbnaturalis.nl/80x80/194901.jpg,http://images.ncbnaturalis.nl/280x190/195022.jpg
122,Groot avondrood,,,rood weeskind;ligusterpijlstaart;muntvlinder;lieveling,vlinder; kriebeldier,op plant;op bloem,lente;zomer,huissleutel,rood; bruin; groen; roze,gestreept,segmenten; twee delen; drie delen; driehoekig,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,G; A,Deilephila elpenor,Groot avondrood,http://images.ncbnaturalis.nl/80x80/194875.jpg,http://images.ncbnaturalis.nl/280x190/194996.jpg
123,Huismoeder,,,rood weeskind;ligusterpijlstaart;muntvlinder;bruin zandoogje,vlinder; kriebeldier,op plant;in boom;tegen muur;in struik;in de lucht,lente;zomer;herfst,huissleutel,bruin; grijs; geel,effen; gestreept; gevlekt,segmenten; twee delen; drie delen; driehoekig,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes;behaard,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,H,Noctua pronuba,Huismoeder,http://images.ncbnaturalis.nl/80x80/194883.jpg,http://images.ncbnaturalis.nl/280x190/195004.jpg
124,Witvlakvlinder,,,bruine snuituil;piramidevlinder;bruin zandoogje,vlinder; kriebeldier,in boom;in struik;in de lucht,zomer;herfst,euro,bruin; rood; oranje; wit,effen; gestreept; gevlekt,segmenten; twee delen; drie delen; driehoekig,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes;behaard,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,W; V,Orgyia antiqua,Witvlakvlinder,http://images.ncbnaturalis.nl/80x80/194948.jpg,http://images.ncbnaturalis.nl/280x190/195070.jpg
125,Agaatvlinder,,,ligusterpijlstaart;groot avondrood;lieveling;gamma-uil,vlinder; kriebeldier,op plant;op bloem;tegen muur;in boom;in struik,lente;zomer;herfst,euro;huissleutel,groen; wit; roze; bruin,gevlekt; gestreept,segmenten; twee delen; drie delen; driehoekig,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,A; V,Phlogophora meticulosa,Agaatvlinder,http://images.ncbnaturalis.nl/80x80/194834.jpg,http://images.ncbnaturalis.nl/280x190/194955.jpg
126,Pauwoogpijlstaart,,,ligusterpijlstaart;rood weeskind;groot avondrood;grote beer,vlinder; kriebeldier,op plant;in boom;in struik,lente;zomer,huissleutel,bruin; zwart; rood; blauw,gevlekt; gestreept,segmenten; twee delen; drie delen; driehoekig,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,P,Smerinthus ocellatus,Pauwoogpijlstaart,http://images.ncbnaturalis.nl/80x80/194918.jpg,http://images.ncbnaturalis.nl/280x190/195039.jpg
127,Ligusterpijlstaart,,,agaatvlinder;groot avondrood;pauwoogpijlstaart;lieveling,vlinder; kriebeldier,op plant;in boom;tegen muur;in struik,zomer;herfst,huissleutel,bruin; zwart; roze,gestreept; gevlekt,segmenten; twee delen; drie delen; driehoekig,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,L; P,Sphinx ligustri,Ligusterpijlstaart,http://images.ncbnaturalis.nl/80x80/194907.jpg,http://images.ncbnaturalis.nl/280x190/195028.jpg
128,Witte tijger,,,stippelmot;klein koolwitje;zwartbandspanner,vlinder; kriebeldier,op plant;tegen muur;in boom;in struik,lente;zomer,euro,wit; zwart; geel,effen; gevlekt; gestipt,segmenten; twee delen; drie delen; driehoekig,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes;behaard,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,W; T,Spilosoma lubricipeda,Witte tijger,http://images.ncbnaturalis.nl/80x80/194947.jpg,http://images.ncbnaturalis.nl/280x190/195069.jpg
129,Lieveling,,,kleine wintervlinder;kleine zomervlinder;agaatvlinder;hagedoornvlinder;ligusterpijlstaart,vlinder; kriebeldier,op plant;in struik,lente;zomer;herfst,euro,bruin; roze; grijs; groen,gestreept; effen; gevlekt,segmenten; twee delen; drie delen; driehoekig,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes,als vlinder; gekleurd,afgerond,vliegt; zit stil,L,Timandra comae,Lieveling,http://images.ncbnaturalis.nl/80x80/194906.jpg,http://images.ncbnaturalis.nl/280x190/195027.jpg
130,Zwartbandspanner,,,kleine zomervlinder;Bonte brandnetelroller;klein koolwitje;rouwwolzwever,vlinder; kriebeldier,in boom;tegen muur;in struik;op plant,lente;zomer;herfst,euro,bruin; wit; grijs,gevlekt; gestreept,segmenten; twee delen; drie delen; driehoekig,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,Z,Xanthorhoe fluctuata,Zwartbandspanner,http://images.ncbnaturalis.nl/80x80/194949.jpg,http://images.ncbnaturalis.nl/280x190/195071.jpg
131,Stippelmot,,,witte tijger;zwartbandspanner;bonte bessenvlinder;bonte brandnetelroller,vlinder; kriebeldier,op plant;in boom;in struik,lente;zomer,mier;pinda,wit;zwart,gevlekt,segmenten; twee delen; drie delen,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,S; M,Ypopnomeuta padellus,Stippelmot,http://images.ncbnaturalis.nl/80x80/194937.jpg,http://images.ncbnaturalis.nl/280x190/195058.jpg
132,Bosmier,,,glanzende houtmier; wegmier; steekmier,mier; kriebeldier,op de grond;in boom;in de grond,winter;lente;zomer;herfst,mier;pinda,rood;zwart,gevlekt; effen,segmenten;drie delen,glad;met haren,insectenoog,spriet lang,twee kaken; geen bek,6,met haakjes; lang en dun,doorzichtig; geen,afgerond,loopt; kruipt; vliegt,B; M,Formica sp.,Bosmier,http://images.ncbnaturalis.nl/80x80/198574.jpg,http://images.ncbnaturalis.nl/280x190/198699.jpg
133,Glanzende houtmier,,,Bosmier; wegmier; steekmier,mier; kriebeldier,op de grond;in boom;in struik;in de grond,winter;lente;zomer;herfst,mier,zwart,effen,segmenten;drie delen,glad;glanzend,insectenoog,spriet lang,twee kaken; geen bek,6,met haakjes; lang en dun,doorzichtig; geen,afgerond,loopt; kruipt; vliegt,G; H; M,Lasius fuliginosus,Glanzende houtmier,http://images.ncbnaturalis.nl/80x80/198577.jpg,http://images.ncbnaturalis.nl/280x190/198701.jpg
134,Wegmier,,,bosmier; glanzende houtmier; steekmier,mier; kriebeldier,op de grond,winter;lente;zomer;herfst,mier,zwart,effen,segmenten;drie delen,glad;met haren,insectenoog,spriet lang,twee kaken; geen bek,6,met haakjes; lang en dun,doorzichtig; geen,afgerond,loopt; kruipt; vliegt,W; M,Lasius niger,Wegmier,http://images.ncbnaturalis.nl/80x80/198583.jpg,http://images.ncbnaturalis.nl/280x190/198705.jpg
135,Steekmier,,,bosmier; glanzende houtmier; wegmier,mier; kriebeldier,op de grond,winter;lente;zomer;herfst,mier,rood;oranje,effen; gevlekt,segmenten;drie delen,glad;met haren,insectenoog,spriet lang,twee kaken; geen bek,6,met haakjes; lang en dun,doorzichtig; geen,afgerond,loopt; kruipt; vliegt,S; M,Myrmica ruginodis,Steekmier,http://images.ncbnaturalis.nl/80x80/198580.jpg,http://images.ncbnaturalis.nl/280x190/198703.jpg
136,Gewone pad,,,bruine kikker; groene kikker,amfibie,water; op de grond; dood blad,lente;zomer;herfst,euro; huissleutel; muis,bruin; oranje; beige; wit,effen; gevlekt,dik;rond,naakt; glibberig; ruw,met pupil,niks,mond,4,lange tenen; zwemvliezen,geen,afgerond,zwemt; zit stil; loopt; geluid; schuilt,G; P,Bufo bufo,Gewone pad,http://images.ncbnaturalis.nl/80x80/199288.jpg,http://images.ncbnaturalis.nl/280x190/199289.jpg
137,Groene kikker,,,bruine kikker; gewone pad,amfibie,water; op de grond,lente;zomer;herfst,euro; huissleutel; muis,groen; bruin; geel; wit; zwart,effen; gevlekt,dik; dun,naakt; glibberig,met pupil,niks,mond,4,lange tenen; zwemvliezen,geen,afgerond,loopt; kruipt; zwemt; zit stil; springt; geluid,G; K,Rana esculenta,Groene kikker,http://images.ncbnaturalis.nl/80x80/199290.jpg,http://images.ncbnaturalis.nl/280x190/199291.jpg
138,Bruine kikker,,,groene kikker; gewone pad,amfibie,water; op de grond; in struik,lente;zomer;herfst,euro; huissleutel; muis,bruin; groen; zwart; grijs,effen;gestreept;gevlekt,dik; dun,naakt; glibberig,met pupil,niks,mond,4,lange tenen; zwemvliezen,geen,afgerond,loopt; kruipt; zwemt; zit stil; springt; geluid,B; K,Rana temporaria,Bruine kikker,http://images.ncbnaturalis.nl/80x80/199286.jpg,http://images.ncbnaturalis.nl/280x190/199287.jpg
139,Kleine watersalamander,,,salamanderlarve,amfibie,water; op de grond; in de grond,lente;zomer;herfst,euro; huissleutel; muis,grijs; beige; bruin; geel; oranje; wit; zwart; blauw,effen;gestreept;gevlekt,lang; dun,naakt; glibberig,met pupil,niks,mond,4,lange tenen; zwemvliezen,geen,staart lang; puntig,zwemt; zit stil; loopt; kruipt,K; W; S,Lissotriton vulgaris,Kleine watersalamander,http://images.ncbnaturalis.nl/80x80/199296.jpg,http://images.ncbnaturalis.nl/280x190/199297.jpg
140,Kikkervisje,,,salamanderlarve,amfibie,water; op de grond,lente; zomer,pinda; euro; huissleutel,zwart; bruin; groen; goud,effen;gestreept;gestipt,bolletje; lang,naakt; glibberig; glanzend,met pupil,niks,mond,0; 2; 4,lange tenen; zwemvliezen,geen,staart lang; puntig,zwemt,K; V,,Kikkervisje,http://images.ncbnaturalis.nl/80x80/199292.jpg,http://images.ncbnaturalis.nl/280x190/199293.jpg
141,Salamanderlarve,,,kleine watersalamander; kikkervisje,amfibie,water; op de grond,lente; zomer,pinda; euro; huissleutel,bruin; beige; oranje,effen; gevlekt,dun; lang,naakt; glibberig,met pupil,spriet lang; spriet kort,mond,4,lange tenen; zwemvliezen,geen,staart lang; puntig,zwemt; loopt; kruipt,S; L,,Salamanderlarve,http://images.ncbnaturalis.nl/80x80/199295.jpg,http://images.ncbnaturalis.nl/280x190/199294.jpg
142,Grote bonte specht,,,,vogel,in boom; in de lucht; op de grond,lente; zomer; herfst; winter,merel,zwart; wit; rood; beige,gestreept; effen; gevlekt,dun; lang,veren,geen pupil,niks,snavel lang; snavel dun,2,nagels; grijppoten,met veren; gekleurd; gevlekt,staart lang,vliegt; zit stil; geluid; hangt; kruipt,G; B; S,Dendrocopos major,Grote bonte specht,http://images.ncbnaturalis.nl/80x80/196754.jpg,http://images.ncbnaturalis.nl/280x190/196755.jpg
143,Papiervisje,,,,kriebeldier,binnen,winter;lente;zomer;herfst,pinda; euro,zilver; zwart; bruin,effen,lang;dun; segmenten; drie delen,naakt; met haren,geen ogen zichtbaar; insectenogen,spriet lang,geen bek,6,lang en dun; met haakjes,geen,drie draden,kruip; rent; loopt; schuilt;zit stil,P,Ctenolepisma longicaudatum,Papiervisje,http://images.ncbnaturalis.nl/80x80/199995.jpg,http://images.ncbnaturalis.nl/280x190/199977.jpg
144,Gegroefde watertor,,,tuimelaar; haagse hopjeskever;eironde watertor;gewone duikerwants,kriebeldier;kever,water;in de lucht,winter;lente;zomer;herfst,huissleutel,zwart;geel,gestreept,rond;segmenten;twee delen;drie delen,glad;glanzend,insectenogen,spriet lang,twee kaken;geen bek,6,lang en dun;behaard,als kever;doorzichtig;geen;gekleurd,afgerond,zwemt;schuilt,G;W;T,Acilius sulcatus,Gegroefde watertor,http://images.ncbnaturalis.nl/80x80/199990.jpg,http://images.ncbnaturalis.nl/280x190/199972.jpg
145,Gewone snelzwemmer,,,haagse hopjeskever;eironde watertor;gewone duikerwants,kriebeldier;kever,water;in de lucht,lente;zomer;herfst,euro,zwart,effen,rond;segmenten;twee delen;drie delen,glad;glanzend,insectenogen,spriet lang,twee kaken;geen bek,6,lang en dun;behaard,als kever;doorzichtig;geen;gekleurd,afgerond,zwemt;schuilt,G;S,Agabus bipustulatus,Gewone snelzwemmer,http://images.ncbnaturalis.nl/80x80/200607.jpg,http://images.ncbnaturalis.nl/280x190/200608.jpg
146,Tuimelaar,,volwassen,geelgerande waterroofkever; gegroefde watertor;gewone duikerwants;gewoon bootsmannetje,kriebeldier;kever,water;in de lucht,lente;zomer;herfst,euro,zwart;groen;goud,effen;gestreept,rond;segmenten;twee delen;drie delen,glad;glanzend,insectenogen,spriet lang,twee kaken;geen bek,6,lang en dun;behaard,als kever;doorzichtig;geen;gekleurd,afgerond,zwemt;steekt/bijt;schuilt,T,Cybister lateralimarginalis,Tuimelaar,http://images.ncbnaturalis.nl/80x80/200609.jpg,http://images.ncbnaturalis.nl/280x190/200610.jpg
147,Geelgerande waterroofkever,,,grote spinnende watertor; tuimelaar; gegroefde watertor;gewone duikerwants;gewoon bootsmannetje,kriebeldier;kever,water;in de lucht,winter;lente;zomer;herfst,huissleutel,zwart;groen;geel,effen;gestreept,rond;segmenten;twee delen;drie delen,glad;glanzend,insectenogen,spriet lang,twee kaken;geen bek,6,lang en dun;behaard,als kever;doorzichtig;geen;gekleurd,afgerond,zwemt;steekt/bijt;schuilt,G;W;K,Dytiscus marginalis,Geelgerande waterroofkever,http://images.ncbnaturalis.nl/80x80/199989.jpg,http://images.ncbnaturalis.nl/280x190/199971.jpg
148,Watertreder,,,eironde watertor; pieptor;haagse hopjeskever;gewone duikerwants,kriebeldier;kever,water;in de lucht,lente;zomer;herfst,pinda,zwart;bruin;geel,gevlekt,rond;segmenten;twee delen;drie delen,glad,insectenogen,spriet kort;niks,twee kaken;geen bek,6,met haakjes;lang en dun,als kever;doorzichtig;geen;gekleurd,afgerond,zwemt;schuilt,W;T,Haliplus ruficollis,Watertreder,http://images.ncbnaturalis.nl/80x80/200001.jpg,http://images.ncbnaturalis.nl/280x190/199983.jpg
149,Grote spinnende watertor,,,geelgerande waterroofkever; tuimelaar;gewone duikerwants;gewoon bootsmannetje,kriebeldier;kever,water;in de lucht;op de grond,winter;lente;zomer;herfst,huissleutel,zwart;groen,effen,rond;segmenten;twee delen;drie delen,glad;glanzend,insectenogen,spriet kort,twee kaken;geen bek,6,lang en dun;behaard,als kever;doorzichtig;geen;gekleurd,afgerond,zwemt;schuilt,G;S;T,Hydrophilus piceus,Grote spinnende watertor,http://images.ncbnaturalis.nl/80x80/199993.jpg,http://images.ncbnaturalis.nl/280x190/199975.jpg
150,Pieptor,,,watertreder;haagse hopjeskever;gewone duikerwants,kriebeldier;kever,water;in de lucht,lente;zomer;herfst,euro,zwart;geel,gevlekt,rond;segmenten;twee delen;drie delen,glad;glanzend,insectenogen,spriet lang,twee kaken;geen bek,6,lang en dun;behaard,als kever;doorzichtig;geen;gekleurd,afgerond,zwemt;geluid;schuilt,P;T,Hygrobia hermanni,Pieptor,http://images.ncbnaturalis.nl/80x80/199996.jpg,http://images.ncbnaturalis.nl/280x190/199978.jpg
151,Eironde watertor,,,gegroefde watertor; gewone snelzwemmer;haagse hopjeskever;watertreder;platte waterwants,kriebeldier;kever,water;in de lucht,lente;zomer;herfst,pinda,bruin;rood,effen,segmenten;twee delen;drie delen;rond,glad;glanzend,insectenogen,spriet kort; spriet lang,twee kaken;geen bek,6,lang en dun;behaard,als kever;doorzichtig;geen;gekleurd,afgerond,zwemt;schuilt,E;T,Hyphydrus ovatus,Eironde watertor,http://images.ncbnaturalis.nl/80x80/199988.jpg,http://images.ncbnaturalis.nl/280x190/199970.jpg
152,Haagse hopjeskever,,,watertreder; gegroefde watertor; pieptor;eironde watertor;gewone snelzwemmer;platte waterwants,kriebeldier;kever,water;in de lucht,lente;zomer;herfst,mier;pinda,zwart;bruin;geel,effen;gevlekt,rond;segmenten;twee delen;drie delen,glad,insectenogen,spriet kort;niks,twee kaken;geen bek,6,lang en dun;behaard,als kever;doorzichtig;geen;gekleurd,afgerond,zwemt;schuilt,H;K,Noterus clavicornis,Haagse hopjeskever,http://images.ncbnaturalis.nl/80x80/200003.jpg,http://images.ncbnaturalis.nl/280x190/199985.jpg
153,Zoetwaterpissebed,,,gewone aasgarnaal;vlokreeft;ruwe pissebed,kriebeldier,water,winter;lente;zomer;herfst,pinda,bruin,effen;gevlekt;gestreept,segmenten,glad,geen ogen,spriet lang,geen bek,>10,lang en dun,geen,afgerond,loopt; kruipt; zwemt;schuilt,Z;W;P,Asellus aquaticus,Zoetwaterpissebed,http://images.ncbnaturalis.nl/80x80/199999.jpg,http://images.ncbnaturalis.nl/280x190/199981.jpg
154,Eenoogkreeftje,,,waterpissebed;vlokreeft;watervlo,kriebeldier,water,winter;lente;zomer;herfst,zandkorrel;mier,bruin;doorzichtig,effen;gevlekt,segmenten;bolletje,glad;naakt,geen ogen;puntjes,spriet lang,geen bek,0;>10,geen poten;behaard,geen,puntig;staart lang,zwemt;schuilt,E;K,Cyclops sp.,Eenoogkreeftje,http://images.ncbnaturalis.nl/80x80/199987.jpg,http://images.ncbnaturalis.nl/280x190/199969.jpg
155,Mosselkreeftje,,,karperluis;watervlo;erwtenmossel,kriebeldier,water,winter;lente;zomer;herfst,zandkorrel;mier,bruin;doorzichtig,effen;gevlekt,bolletje,glad,geen ogen,draden,geen bek,0,geen poten,geen,afgerond,zwemt;schuilt,M;K,Ostracoda sp.,Mosselkreeftje,http://images.ncbnaturalis.nl/80x80/199994.jpg,http://images.ncbnaturalis.nl/280x190/199976.jpg
156,Gewone aasgarnaal,,,waterpissebed;vlokreeft;watervlo;elzenvlieglarve,kriebeldier,water,winter;lente;zomer;herfst,pinda;euro,bruin;doorzichtig;zwart;rood,effen,lang;segmenten,glad,op steeltje,spriet lang;draden,steeksnuit;geen bek,>10,behaard;lang en dun;met haakjes,geen,afgerond;staart kort,zwemt;schuilt,G;A,Neomysis integer,Gewone aasgarnaal,http://images.ncbnaturalis.nl/80x80/199991.jpg,http://images.ncbnaturalis.nl/280x190/199973.jpg
157,Watervlo,,,waterpissebed;vlokreeft;gewone aasgarnaal;elzenvlieglarve,kriebeldier,water,winter;lente;zomer;herfst,zandkorrel;mier,doorzichtig;zwart;rood,effen;gevlekt,bolletje,glad,ogen geen pupil,spriet lang,geen bek,4;0,lang en dun;behaard,geen,puntig;afgerond,zwemt;schuilt,W;V,Daphnia sp.,Watervlo,http://images.ncbnaturalis.nl/80x80/200002.jpg,http://images.ncbnaturalis.nl/280x190/199984.jpg
158,Vlokreeft,,,waterpissebed;watervlo;gewone aasgarnaal;elzenvlieglarve,kriebeldier,water,winter;lente;zomer;herfst,pinda,bruin;doorzichtig,effen,plat;segmenten;lang,glad,ogen geen pupil,spriet lang;draden,geen bek,>10,lang en dun;behaard;met haakjes,geen,puntig;staart lang,zwemt;schuilt,V;K,Gammarus pulex,Vlokreeft,http://images.ncbnaturalis.nl/80x80/199998.jpg,http://images.ncbnaturalis.nl/280x190/199980.jpg
